X,date,prec,snow,temp,aqi,co,no2,o3,pm10,pm,so2,t_asign,treat,hubei,day,month,year,daynum,north,city_code,judge,week,lead_lag_dummy
1723,20200211,2.576813292,60.87966773,5.1610785,212.04167,6.1925,69,30.166666,252.08333,186.29167,28.916666,1,1,0,11,2,2020,8442,1,20585,1,2,2
1730,20200218,0.321490242,20.83564525,0.8658972,50.416668,0.7895833,27.166666,52.25,33.041668,21.75,10.5,1,1,0,18,2,2020,8449,1,20585,1,3,3
1737,20200225,2.374046411,71.20605257,3.9514925,66.583336,2.0554166,46.333332,39.041668,135.875,50.875,40.25,1,1,0,25,2,2020,8456,1,20585,1,4,4
2124,20200104,3.146095088,87.40769339,-2.0120509,77.791664,2.02875,63.083332,26.625,99.833336,62.583332,34.666668,1,0,0,4,1,2020,8404,1,41928,1,-3,-3
2131,20200111,6.443419086,92.07405253,-3.8892741,46.5,1.2791667,48.791668,41.916668,63.666668,41.625,17.541666,1,0,0,11,1,2020,8411,1,41928,1,-2,-2
2138,20200118,1.878151664,92.17382698,-4.708343,191.41667,2.4625,64.666664,16.75,145.5,102.541664,26,1,0,0,18,1,2020,8418,1,41928,1,-1,-1
2145,20200125,7.903086031,89.60499322,-3.4354248,141.66667,1.3341666,27.625,54.333332,79.958336,59.333332,21.708334,1,1,0,25,1,2020,8425,1,41928,1,0,0
2152,20200201,2.195717056,90.12833263,-1.8088555,52.5,1.38,31.208334,61.791668,69.791664,52.291668,18.208334,1,1,0,1,2,2020,8432,1,41928,1,1,1
2159,20200208,1.21089957,70.09967984,-3.1351159,68,1.7483333,35.541668,49.5,82.75,61.625,20.583334,1,1,0,8,2,2020,8439,1,41928,1,2,2
2166,20200215,278.3046226,54.40050753,-4.177321,27.083334,0.77416664,6.0416665,69.75,44.75,17.291666,7.8333335,1,1,0,15,2,2020,8446,1,41928,1,3,3
2173,20200222,0.673629188,54.80731875,1.2725823,32.125,1.2016667,26.75,78.166664,83.583336,54.208332,10.833333,1,1,0,22,2,2020,8453,1,41928,1,4,4
2180,20200229,7.695592781,25.48605821,2.5932202,92.25,1.5391667,42.083332,18.791666,102.666664,75.041664,13.541667,1,1,0,29,2,2020,8460,1,41928,1,5,-4
2564,20200105,103.2333898,12.86076017,1.9989121,279.58334,2.43625,100.958336,10.333333,341.5,263.20834,17.666666,1,0,0,5,1,2020,8405,1,93580,1,-4,-4
2571,20200112,2.518063108,21.9197497,-2.4887466,170.79167,1.5158334,63.958332,29.625,155.25,116.75,13.125,1,0,0,12,1,2020,8412,1,93580,1,-3,-3
2578,20200119,10.5604304,41.58792147,0.4734308,154.29167,2.2633333,54.75,30.833334,221.25,164.375,11.833333,1,0,0,19,1,2020,8419,1,93580,1,-2,-2
2585,20200126,15.06269657,44.14664999,1.0075737,189.375,1.1766666,24.375,71.375,162.375,124.791664,17.416666,1,0,0,26,1,2020,8426,1,93580,1,-1,-1
2592,20200202,4.718121691,39.47598759,2.516418,83.625,1.1854167,18.375,68.666664,86.5,60.833332,12.291667,1,1,0,2,2,2020,8433,1,93580,1,0,0
2599,20200209,0.798933538,60.77567817,5.23734,143.375,2.31625,36.375,53.541668,197.875,157.91667,14.666667,1,1,0,9,2,2020,8440,1,93580,1,1,1
2606,20200216,1.889700932,44.43022267,0.02338908,33.291668,0.50083333,11.416667,73,33.208332,12.708333,6.0833335,1,1,0,16,2,2020,8447,1,93580,1,2,2
2613,20200223,0.880297849,63.77965736,8.586791,81.291664,0.635,20.791666,75.041664,91.791664,35.666668,8.958333,1,1,0,23,2,2020,8454,1,93580,1,3,3
2620,20200301,1.991463493,63.52505412,5.9691787,78.125,1.3529167,29.75,39.916668,78.916664,58.416668,3.0416667,1,1,0,1,3,2020,8461,1,93580,1,4,4
4759,20200105,44.23842977,24.69298846,1.3774583,131.625,2.40875,95.666664,8.625,241.33333,181.45833,26.833334,1,0,0,5,1,2020,8405,1,39753,1,-5,-4
4766,20200112,1.038074876,58.44151825,-2.2318022,90.708336,0.92375,49.333332,26.916666,72.291664,44.916668,16.125,1,0,0,12,1,2020,8412,1,39753,1,-4,-4
4773,20200119,3.369196917,56.86271239,-1.0262544,140.20833,1.71,33.041668,42.041668,208.875,139.41667,9.833333,1,0,0,19,1,2020,8419,1,39753,1,-3,-3
4780,20200126,5.236133615,58.25052983,0.38824752,198.66667,1.4233333,35.833332,47,171.54167,132.16667,24.208334,1,0,0,26,1,2020,8426,1,39753,1,-2,-2
4787,20200202,19.41730919,21.53221936,0.3081512,48.958332,0.68625003,12.208333,74.708336,48.416668,33.125,10.333333,1,0,0,2,2,2020,8433,1,39753,1,-1,-1
4794,20200209,0.343612959,71.56331975,2.6759405,166.91667,1.43875,25.375,41.541668,137.75,106.291664,13.416667,1,1,0,9,2,2020,8440,1,39753,1,0,0
4801,20200216,0.920780929,43.73163463,-1.5853713,26.416666,0.29375002,7.75,73.583336,22.291666,13.375,7,1,1,0,16,2,2020,8447,1,39753,1,1,1
4808,20200223,0.480927653,60.1929587,8.025533,73.875,0.66083336,25.458334,74.083336,51.916668,27.666666,15.5,1,1,0,23,2,2020,8454,1,39753,1,2,2
4815,20200301,0.870795776,56.64976619,5.21331,73,0.86875,28.833334,38.791668,85.708336,63.416668,7.5,1,1,0,1,3,2020,8461,1,39753,1,3,3
16169,20200101,0.185389356,71.83580544,-13.3279915,104.541664,1.5004166,52.458332,18.791666,82.541664,56.458332,32.333332,1,0,0,1,1,2020,8401,1,40732,1,-5,-4
16176,20200108,4.972064411,125.0298981,-8.348747,62.666668,0.7975,29.875,67.125,96.458336,81.041664,17.291666,1,0,0,8,1,2020,8408,1,40732,1,-4,-4
16183,20200115,0.332525494,62.17153154,-12.414173,157.04167,1.6570834,69.958336,21.375,154.41667,119.458336,31.083334,1,0,0,15,1,2020,8415,1,40732,1,-3,-3
16190,20200122,2.897302913,153.0652913,-5.727064,143.42105,1.0805264,34.36842,58,86.31579,59.473682,22.894737,1,0,0,22,1,2020,8422,1,40732,1,-2,-2
16197,20200129,0.203671206,61.99902325,-6.478877,122.166664,1.3354167,25.5,105.166664,160.20833,133.91667,20.958334,1,0,0,29,1,2020,8429,1,40732,1,-1,-1
16204,20200205,0.319748517,31.41721518,-15.528125,31.875,0.46875,11.291667,53.041668,29.083334,14,11.125,1,1,0,5,2,2020,8436,1,40732,1,0,0
16211,20200212,0.243889726,71.75896671,5.315823,55.666668,0.93791664,17.708334,102.166664,73.75,54.291668,15.833333,1,1,0,12,2,2020,8443,1,40732,1,1,1
16218,20200219,0.17575637,41.80442897,-5.5126667,102.916664,1.5870833,51.25,36.791668,85.416664,67.041664,31.416666,1,1,0,19,2,2020,8450,1,40732,1,2,2
16225,20200226,0.093730702,123.3993,-1.9311987,43.708332,0.4425,17.416666,64.5,38.416668,29.666666,10.25,1,1,0,26,2,2020,8457,1,40732,1,3,3
16608,20200101,0.073087321,93.42521448,-5.468079,53.5,0.66541666,26.458334,46.5,40.333332,20.958334,14.083333,1,0,0,1,1,2020,8401,1,90724,1,-5,-4
16615,20200108,0.189175665,80.61087572,-4.7640405,41.458332,0.62041664,17.875,70.208336,58.291668,37.541668,11.416667,1,0,0,8,1,2020,8408,1,90724,1,-4,-4
16622,20200115,0.275350631,80.80305281,-4.536806,57.916668,0.70166665,32.333332,47.833332,41.875,31,17.75,1,0,0,15,1,2020,8415,1,90724,1,-3,-3
16629,20200122,0.168616851,106.7336742,-1.4054139,53.842106,0.5873684,26.052631,69.31579,43,21.894737,12.105263,1,0,0,22,1,2020,8422,1,90724,1,-2,-2
16636,20200129,0.073727275,68.33819757,-2.9557283,112.75,1.5745833,35.625,81.583336,168.20833,149.29167,19.125,1,0,0,29,1,2020,8429,1,90724,1,-1,-1
16643,20200205,0.16679775,98.62397419,-8.494969,32.833332,0.4775,13.166667,60.708332,31.25,15.958333,14.291667,1,1,0,5,2,2020,8436,1,90724,1,0,0
16650,20200212,0.128561201,87.3740003,7.292768,45.375,0.6429167,22.291666,85.791664,58.791668,45.416668,9.5,1,1,0,12,2,2020,8443,1,90724,1,1,1
16657,20200219,0.056128237,65.99373582,2.8402593,72,0.83875,33,57.458332,67.333336,53.583332,12.25,1,1,0,19,2,2020,8450,1,90724,1,2,2
16664,20200226,0.071526925,109.1372725,3.222083,39.625,0.6691667,22.208334,68.333336,49.708332,33.458332,12.25,1,1,0,26,2,2020,8457,1,90724,1,3,3
17047,20200101,1.286127639,86.2410519,-10.464957,165.04167,1.8608333,45.541668,22.75,98.25,61.791668,26.041666,1,0,0,1,1,2020,8401,1,37206,1,-5,-4
